\
Facility Name,City,State
"9 Abington Reproductive Medicine, Abington View Physicians + Ivf And Genetics, Toll Center For Reproductive Sciences",Abington,PA
"Advanced Fertility Care, Pllc",Soottedale,AZ
Arizona Associates For Reproductive Health,Soottedale,AZ
Arizona Reproductive Medicine Specialists,Phoenix,AZ
"Aurora Health Care-aurora Fertility Services, The Women's Center At Aurora Baycare Medical Center",Green Bay,WI
"Aurora Health Care-aurora Fertility Services, West Allis, West Allis Memorial Hospital",West Allis,WI
"Boston Ivf, The Albany Center",Loudonville,NY
"Boston Ivf, The Maine Center",South Portland,ME
Boston Reproductive Medicine Physician Group Dba Cerm Boston,Chestnut Hil,MA
California Center For Reproductive Medicine,Encinitas,CA
Ccrm San Francisco,Mento Park,CA
Ccrm Virginia,Vienna,VA
Cny Fertility Center,Syracuse,NY
Columbia University Center For Women’s Reproductive Care,New York,NY
Conceptions Florida: Center For Fertility And Genetics,Miami,FL
Damien Fertility Partner,Shrewsbury,NJ
"Delaware Institute For Reproductive Medicine, Pa",Newark,DE
Family Fertility Center,Bethlehem,PA
"Fertility & Ivf Center Of Miami, Inc.",Miami,FL
Fertility Care (Center Of Assisted Reproduction & Endocrinology),Winter Park,FL
Fertility Centers Of Illinois-highland Park Ivf Center,Highland Park,IL
Fertility Centers Of Illinois-river North Ivf,Chicago,IL
Fertility Specialists Medical Group,San Diego,CA
Genesis Fertility & Reproductive Medicine,Brooklyn,NY
"Greenwich Fertility And Ivf Center, Pc",Greenwich,CT
Houston Fertility Institute,Houston,TX
Hrc Fertility-orange County,Newport Beach,CA
Institute For Human Reproduction (Ihr),Chicago,IL
"Institute For Reproductive Medicine And Science, Saint Barnabas Medical Center",Livingston,NJ
Laurel Fertility Care,San Francisco,CA
"Loma Linda University Center For Fertility And Ivf, Department Of Gynecology And Obstetrics",Loma Linda,CA
Long Island Ivf,Melville,NY
Main Line Fertility And Reproductive Medicine,Bryn Mawr,PA
Newport Fertility Center,Newport Beach,CA
Northeastern Reproductive Medicine,Colchester,VT
Northern California Fertility Medical Center,Roseville,CA
"Overlake Reproductive Health, Inc., Ps",Bellevue,WA
Pacific Northwest Fertility And Ivf Specialists,Seattle,WA
Palo Alto Medical Foundation Fertility Program,San Jose,CA
Park Avenue Fertility And Reproductive Medicine,Trumbull,CT
Penn State Milton S. Hershey Medical Center,Hershey,PA
Reproductive Associates Of Delaware,Newark,DE
"Reproductive Gynecology, Inc.-Akron",Akron,OH
"Reproductive Gynecology, Inc.-Westerville",Westerville,OH
Reproductive Medicine Associates Of Connecticut,Norwalk,CT
Reproductive Medicine Associates Of New Jersey,Basking Ridge,NJ
Reproductive Science Center Of New Jersey,Eatontown,NJ
Reproductive Science Center Of The San Francisco Bay Area,San Ramon,CA
San Diego Fertility Center,San Diego,CA
"Seattle Reproductive Medicine, Integramed America",Seattle,WA
South Florida Institute For Reproductive Medicine,South Miami,FL
Stanford Medicine Fertility & Reproductive Health,Sunnyvale,CA
Tennessee Reproductive Medicine,Chattanooga,TN
The Center For Reproductive Health,Spokane,WA
The Reproductive Medicine Group,Tampa,FL
Ucsf Center For Reproductive Health,San Francisco,CA
Uf Health Reproductive Medicine At Springhill,Gainesville,FL
"University Of Pennsylvania, Penn Fertility Care",Philadelphia,PA
"Weill Medical College Of Cornell University, Center For Reproductive Medicine",New York,NY
Yale Fertility Center,New Haven,CT
